YEAR,QUARTER,ID,INDUSTRY,PRPGDP1,PRPGDP2,PRPGDP3,PRPGDP4,PRPGDP5,PRPGDP6,PRPGDP7,PRPGDP8,PRPGDP9,PRPGDP10,PRPGDP11,PRPGDP12,PRPGDP13,PRPGDP14,PRPGDP15,PRPGDP16,PRPGDP17,PRPGDP18,PRPGDP19,PRPGDP20
1969,1,72,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,73,,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,74,,0.0,0.0,0.0,0.0,0.0,10.0,20.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,77,,0.0,0.0,1.0,2.0,3.0,6.0,15.0,28.0,22.0,12.0,8.0,2.0,1.0,0.0,0.0,,,,,
1969,1,78,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,79,,0.0,0.0,0.0,0.0,20.0,40.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,81,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,84,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,85,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,70.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,89,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,90,,0.0,0.0,0.0,0.0,5.0,20.0,40.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,91,,0.0,0.0,0.0,0.0,0.0,5.0,25.0,50.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,92,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,93,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,94,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,95,,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,96,,,,,,,,,,,,,,,,,,,,,
1969,2,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,3,,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,4,,0.0,0.0,0.0,0.0,0.0,5.0,40.0,30.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,6,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,8,,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,9,,0.0,0.0,0.0,0.0,5.0,20.0,45.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,10,,0.0,0.0,0.0,0.0,0.0,5.0,30.0,50.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,13,,0.0,0.0,0.0,0.0,0.0,5.0,20.0,40.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,15,,0.0,0.0,0.0,0.0,0.0,10.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,18,,0.0,0.0,0.0,0.0,0.0,5.0,20.0,50.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,21,,0.0,0.0,0.0,0.0,0.0,0.0,65.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,23,,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,26,,0.0,0.0,0.0,0.0,5.0,25.0,45.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,27,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,28,,2.0,4.0,9.0,12.0,15.0,18.0,13.0,12.0,7.0,3.0,2.0,2.0,1.0,0.0,0.0,,,,,
1969,2,30,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,31,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,50.0,20.0,0.0,0.0,0.0,0.0,,,,,
1969,2,32,,0.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,33,,1.0,2.0,2.0,3.0,5.0,6.0,10.0,13.0,19.0,13.0,10.0,6.0,5.0,3.0,2.0,,,,,
1969,2,35,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,70.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,38,,0.0,0.0,0.0,0.0,0.0,5.0,25.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,40,,,,,,,,,,,,,,,,,,,,,
1969,2,41,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,42,,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,43,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,85.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,45,,0.0,0.0,5.0,10.0,15.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,46,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,47,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,60.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,48,,0.0,0.0,0.0,0.0,0.0,5.0,20.0,40.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,49,,0.0,0.0,0.0,1.0,5.0,10.0,40.0,38.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,50,,1.0,1.0,2.0,5.0,10.0,20.0,25.0,25.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
1969,2,51,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,52,,0.0,0.0,0.0,0.0,10.0,20.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,53,,0.0,0.0,0.0,0.0,0.0,5.0,40.0,45.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,55,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,2,56,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
